X,Y,GT,K,TH,U,CT,U_K,TH_K,U_TH,MDT,B02,B03,B04,B06,B07,TARGET
638163.6800000003,7980177.080000001,0.056822000000000004,0.35,4.15,1.81,3.37,9.08,21.21,0.38,1435.86,9227.0,8837.0,9170.0,17074.0,14010.0,5
634288.6800000003,7970427.059999999,0.30181399999999997,1.35,8.1,4.38,8.35,2.86,6.47,0.43,1277.21,8536.0,7781.0,7535.0,12508.0,10120.0,5
638663.6800000003,7982364.58,0.0075400000000000016,0.85,5.98,1.45,3.93,1.87,6.45,0.28,1431.7600000000002,9488.0,9431.0,9852.0,18655.0,15038.0,6
638538.68,7976802.07,0.028999999999999998,0.46,3.31,1.49,2.7,5.12,8.99,0.53,1438.03,8599.0,7795.0,7470.0,11631.0,9486.0,4
635038.68,7969302.059999999,0.07914,1.89,10.11,4.97,8.54,3.68,7.2,0.52,1313.55,8942.0,8508.0,8790.0,15149.0,11171.0,4
638726.1800000003,7981489.58,0.071591,0.57,5.3,2.63,4.23,2.72,6.97,0.41,1430.14,9036.0,8791.0,9117.0,17693.0,13716.0,6
638851.1800000003,7980427.079999999,0.044176,1.42,9.71,3.28,5.53,4.19,10.86,0.36,1387.22,8708.0,8461.0,8472.0,15074.0,11476.0,5
638351.1800000003,7976864.570000001,0.036291000000000004,0.53,3.4,1.79,3.27,4.31,9.02,0.47,1417.49,9596.0,9129.0,9388.0,20357.0,15893.0,3
639288.6800000003,7982364.58,0.020847,2.48,8.46,2.3,7.02,1.53,5.34,0.3,1389.9000000000005,9005.0,8801.0,9290.0,17423.0,13009.0,5
639913.69,7980989.580000001,0.059650999999999996,0.4,1.3,1.52,2.27,5.64,14.97,0.43,1378.59,8994.0,8572.0,8602.0,16899.0,13112.0,6
638538.68,7976614.570000001,0.0256,0.31,4.35,1.75,2.74,5.74,10.37,0.53,1428.6500000000005,9060.0,8932.0,9342.0,15885.0,12251.0,4
638788.6800000003,7978677.08,0.010943000000000001,0.4,2.99,0.75,1.71,5.61,10.37,0.53,1422.66,10175.0,10293.0,10872.0,18301.0,15422.0,6
638476.1800000003,7979864.58,0.061087999999999996,0.21,8.91,2.56,4.54,12.29,39.99,0.31,1423.7,8799.0,8698.0,9708.0,16934.0,13546.0,5
635601.1800000003,7970802.059999998,0.021693,1.22,17.25,6.11,11.41,3.17,9.72,0.33,1265.74,9432.0,9229.0,9575.0,18250.0,13588.0,2
638663.6800000003,7974052.07,0.098945,0.35,3.06,2.53,3.19,6.71,10.35,0.66,1399.95,8969.0,8563.0,8808.0,17029.0,12528.0,4
638913.6800000003,7978864.579999999,0.016922,0.14,3.73,1.36,1.92,9.71,18.81,0.58,1412.84,9993.0,9798.0,10132.0,19571.0,16752.0,5
636038.68,7969927.06,0.154076,1.43,10.98,4.29,8.4,4.41,8.25,0.53,1245.95,8883.0,8535.0,8850.0,15616.0,11586.0,2
638726.1800000003,7973614.57,0.022267,0.4,2.89,1.18,2.12,6.05,7.68,0.8,1461.76,9243.0,8699.0,8791.0,18431.0,14666.0,4
639226.1800000003,7974114.570000001,0.056083,0.46,0.9040604308985836,3.0,2.95,6.63,4.7,1.52,1370.32,9576.0,8997.0,9214.0,18476.0,15072.0,4
635726.1800000003,7971114.559999999,0.022108000000000003,1.58,22.89,7.34,13.68,3.77,11.86,0.32,1257.14,8405.0,8049.0,7622.0,13096.0,9339.0,2
640038.69,7979802.080000001,0.014728999999999999,0.21,1.38,0.91,1.65,11.21,13.63,1.09,1382.22,10061.0,9543.0,9881.0,17610.0,14356.0,6
634663.6800000003,7969927.06,0.18357300000000001,1.7,11.02,5.4,9.35,2.41,7.54,0.31,1238.19,9373.0,9183.0,9633.0,15383.0,11961.0,4
637038.68,7978989.580000001,0.017294999999999998,0.37,2.96,1.65,2.42,4.87,7.17,0.68,1414.07,9534.0,9055.0,9243.0,16838.0,13602.0,3
639101.18,7978364.58,0.013269999999999999,0.15,1.57,1.4,1.97,13.43,38.7,0.33,1416.79,9697.0,9164.0,9243.0,15944.0,13835.0,6
638913.6800000003,7980864.579999999,0.049651,0.86,8.63,1.88,4.9,2.93,9.77,0.31,1388.39,8742.0,8405.0,8508.0,15987.0,12083.0,5
636476.1800000003,7971489.559999999,0.024709000000000002,2.59,19.3,7.89,15.06,2.69,7.49,0.36,1330.14,9152.0,8604.0,8438.0,13728.0,10869.0,1
639226.1800000003,7978614.579999999,0.01252,0.10203459449991208,1.8,1.01,1.3,15.6,18.99,0.8,1411.45,11068.0,10685.0,11099.0,18230.0,16166.0,6
639976.19,7982489.58,0.018828,0.28,3.61,1.86,3.02,4.59,9.97,0.48,1342.97,9362.0,9116.0,9461.0,17591.0,13667.0,5
638351.1800000003,7976739.57,0.02814,0.6,3.72,1.58,3.32,4.39,8.73,0.49,1420.17,9748.0,9327.0,9445.0,18096.0,15180.0,3
636913.6800000003,7978364.58,0.040053,0.42,8.03,3.6,5.3,9.71,20.32,0.48,1376.12,10212.0,10393.0,11432.0,20111.0,15713.0,3
635601.1800000003,7974677.070000001,0.027331,0.62,2.59,2.02,2.87,3.7,5.34,0.76,1342.81,9034.0,8607.0,8718.0,15579.0,11795.0,5
638038.68,7971552.059999998,0.068107,1.05,12.45,4.37,7.72,3.83,8.63,0.48,1332.43,8295.0,7792.0,7229.0,11649.0,8386.0,2
639038.68,7982489.58,0.015280000000000004,2.01,9.53,2.43,8.03,0.99,4.49,0.26,1402.69,9948.0,10343.0,10986.0,17609.0,13632.0,5
636351.1800000003,7971427.059999999,0.030470999999999998,2.53,21.31,8.92,16.09,2.88,8.78,0.33,1311.42,9034.0,8909.0,9339.0,14793.0,11301.0,2
637726.1800000003,7978614.579999999,0.022965,0.89,16.68,3.34,7.51,4.23,14.9,0.3,1374.07,9337.0,9088.0,9319.0,16805.0,13314.0,2
634663.6800000003,7971864.570000001,0.051479,0.97,5.65,3.3,5.56,2.34,4.69,0.52,1293.43,8762.0,8333.0,8430.0,14127.0,10935.0,5
