X,Y,ENTROPY
636913.680,7972427.070,1.059
635851.180,7971052.060,0.201
636351.180,7980114.580,0.277
637351.180,7975364.570,0.391
635101.180,7969927.060,0.927
637538.680,7983052.080,0.624
638413.680,7972114.570,0.549
639976.190,7982177.080,0.807
636538.680,7972864.570,1.615
636163.680,7978177.080,1.473
638913.680,7978552.080,0.038
639726.180,7981489.580,0.969
639038.680,7973802.070,1.180
638601.180,7972177.070,0.566
638976.180,7973239.570,1.610
638226.180,7979239.580,0.941
639038.680,7972052.070,1.694
637788.680,7976614.570,0.523
637788.680,7972239.570,0.405
638413.680,7974489.570,0.726
639476.180,7982302.080,0.510
638726.180,7978802.080,0.804
636163.680,7978614.580,1.721
635476.180,7969177.060,1.053
637226.180,7979989.580,0.137
636851.180,7972239.570,1.393
638601.180,7976302.070,1.032
637413.680,7977927.070,0.254
637976.180,7982864.580,1.604
638413.680,7978489.580,0.983
637476.180,7980177.080,0.345
635788.680,7974302.070,1.054
637351.180,7980489.580,0.673
639538.680,7981739.580,1.218
637976.180,7975802.070,1.397
637913.680,7978739.580,1.556
634913.680,7969927.060,0.498
637413.680,7975427.070,0.632
638538.680,7980052.080,1.232
636663.680,7978052.070,0.952
639288.680,7975302.070,1.228
639163.680,7971614.560,1.470
637851.180,7974552.070,0.853
638101.180,7975302.070,0.961
634851.180,7969739.560,0.725
638163.680,7975677.070,1.596
635976.180,7978114.580,0.883
635351.180,7971552.060,1.265
637601.180,7981302.080,1.470
637163.680,7973552.070,0.483
637788.680,7978802.080,0.481
635976.180,7978302.080,1.670
638726.180,7974489.570,1.306
638538.680,7982989.580,1.121
638788.680,7972489.570,0.757
634413.680,7970052.060,0.957
637726.180,7973614.570,1.439
636601.180,7972302.070,1.187
637913.680,7977052.070,0.106
638226.180,7978927.080,1.446
638976.180,7980739.580,0.771
638226.180,7971427.060,0.499
637538.680,7974302.070,0.606
635163.680,7971739.570,0.920
637101.180,7971677.060,1.256
638038.680,7976739.570,0.977
636726.180,7979052.080,0.885
638163.680,7973927.070,1.503
638851.180,7973364.570,1.451
638476.180,7980552.080,1.129
636726.180,7973864.570,0.711
638663.680,7979052.080,1.051
639226.180,7971802.060,0.667
636038.680,7977614.570,0.872
636163.680,7972552.070,0.971
639038.680,7977989.570,0.979
639538.680,7982052.080,0.877
636413.680,7970489.560,0.382
638163.680,7982302.080,1.683
637163.680,7974614.570,0.331
638476.180,7974364.570,1.346
637976.180,7973177.070,1.044
636351.180,7974427.070,0.933
638726.180,7975052.070,1.497
637976.180,7972677.070,1.335
638976.180,7974552.070,1.275
635476.180,7969364.560,1.077
638788.680,7974989.570,1.616
